Email Campaign Report,,
,Pipeline High Art Studio,
,Amazing Art from High Art Studios Available from PipelineåÊ,
,"Mon, Jul 16, 2018 2:15 pm",
,,
,"2,370",
,"2,325",
,45 (1.9%),
,0,
,0,
,294 (12.6%),
Total Opens:,410,
Last Open Date:,8/8/18 1:19PM,
Recipients Who Clicked:,26 (1.1%),
Total Clicks:,45,
Last Click Date:,8/8/18 1:19PM,
Total Unsubs:,3,
Total Abuse Complaints:,1,
Times Liked on Facebook:,0,
Clicks by URL,,
URL,Total Clicks,Unique Clicks
https://www.pipelinedistro.com/product-category/high-art-studios/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],35,18
http://www.pipwlinedistro.com?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],4,4
https://www.pipelinedistro.com/product-category/zob-glass/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],2,2
http://expoweedmexico.com/en/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],1,1
http://www.pipelinedistro.com/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],1,1
https://www.champstradeshows.com?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],1,1
https://www.pipelinedistro.com/product-category/hvy-glass/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],1,1
https://www.pipelinedistro.com/product-category/skilletools/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
https://www.instagram.com/pipeline_distro/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
https://www.pipelinedistro.com/product-category/mathematix/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
https://twitter.com/PipelineDistro?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
http://www.pipelinedistro.com/my-account/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
http://www.pipelinedistro.com/contact-pipeline/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
http://www.pipelinedistro.com?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
https://plus.google.com/u/0/b/112632348167685145700/+Pipelinedistro?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
http://bigindustryshow.com/?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID]#home,0,0
https://www.facebook.com/pipelinedistro?utm_source=Pipeline+Wholesale+List&utm_campaign=b4d0723a4c-EMAIL_CAMPAIGN_2018_07_11_10_15&utm_medium=email&utm_term=0_85d6f7bbc2-b4d0723a4c-[LIST_EMAIL_ID]&mc_cid=b4d0723a4c&mc_eid=[UNIQID],0,0
